Date,NTU_12K001_H2S,NTU_12K001_HCL,NTU_AI120201
31/12/2019,0.90,5.00,86.03
01/01/2020,0.90,5.00,85.83
02/01/2020,0.90,5.00,86.45
03/01/2020,0.90,5.00,86.45
04/01/2020,0.90,5.00,85.63
05/01/2020,0.90,3.71,84.21
06/01/2020,0.90,3.00,84.57
07/01/2020,0.90,3.00,84.46
08/01/2020,0.90,3.00,84.59
09/01/2020,0.90,3.00,85.30
10/01/2020,0.90,3.00,86.68
11/01/2020,0.90,3.00,86.27
12/01/2020,0.96,4.29,85.65
13/01/2020,1.00,5.00,86.42
14/01/2020,1.00,5.00,86.51
15/01/2020,1.00,5.00,85.98
16/01/2020,1.00,5.00,84.86
17/01/2020,1.00,5.00,84.68
18/01/2020,1.00,5.00,85.55
19/01/2020,0.94,5.00,85.81
20/01/2020,0.90,5.00,85.90
21/01/2020,0.90,5.00,85.91
22/01/2020,0.90,5.00,85.96
23/01/2020,0.90,5.00,85.16
24/01/2020,0.90,5.00,62.69
25/01/2020,0.90,5.00,9.18
26/01/2020,0.90,5.00,3.79
27/01/2020,0.90,5.00,2.10
28/01/2020,0.90,5.00,1.90
29/01/2020,0.90,5.00,1.69
30/01/2020,0.90,5.00,1.49
31/01/2020,0.90,5.00,1.28
01/02/2020,0.90,5.00,1.08
02/02/2020,0.90,5.00,0.87
03/02/2020,0.90,5.00,0.67
04/02/2020,0.90,5.00,0.47
05/02/2020,0.90,5.00,0.26
06/02/2020,0.90,5.00,0.70
07/02/2020,0.90,5.00,2.15
08/02/2020,0.90,5.00,47.86
09/02/2020,0.90,5.00,86.14
10/02/2020,0.92,4.09,87.32
11/02/2020,1.00,1.00,88.66
12/02/2020,1.00,1.00,87.86
13/02/2020,1.00,1.00,87.07
14/02/2020,1.00,1.00,86.64
15/02/2020,1.00,1.00,86.73
16/02/2020,0.94,0.35,83.04
17/02/2020,0.90,0.00,86.92
18/02/2020,0.90,0.00,87.29
19/02/2020,0.90,0.00,86.88
20/02/2020,0.90,0.00,86.64
21/02/2020,0.90,0.00,86.72
22/02/2020,0.90,0.00,86.70
23/02/2020,0.96,0.58,87.03
24/02/2020,1.00,0.90,87.23
25/02/2020,1.00,0.90,85.52
26/02/2020,1.00,0.90,87.45
27/02/2020,1.00,0.90,87.30
28/02/2020,1.00,0.90,87.19
29/02/2020,1.00,0.90,87.36
01/03/2020,0.94,0.90,87.43
02/03/2020,0.90,0.90,87.50
03/03/2020,0.90,0.90,86.16
04/03/2020,0.90,0.90,85.57
05/03/2020,0.90,0.90,87.05
06/03/2020,0.90,0.90,87.52
07/03/2020,0.90,0.90,87.50
08/03/2020,0.90,0.90,87.64
09/03/2020,0.90,0.90,87.59
10/03/2020,0.90,0.90,87.11
11/03/2020,0.90,0.90,85.83
12/03/2020,0.90,0.90,85.45
13/03/2020,0.90,0.90,86.80
14/03/2020,0.90,0.90,87.55
15/03/2020,0.96,0.32,87.67
16/03/2020,1.00,0.00,87.65
17/03/2020,1.00,0.00,87.53
18/03/2020,1.00,0.00,86.96
19/03/2020,1.00,0.00,87.11
20/03/2020,1.00,0.00,87.00
21/03/2020,1.00,0.00,87.33
22/03/2020,0.94,2.58,87.34
23/03/2020,0.90,4.00,86.79
24/03/2020,0.90,4.00,86.84
25/03/2020,0.90,4.00,86.74
26/03/2020,0.90,4.00,86.39
27/03/2020,0.90,4.00,86.28
28/03/2020,0.90,4.00,84.87
29/03/2020,0.96,3.35,84.20
30/03/2020,1.00,3.00,84.10
31/03/2020,1.00,3.00,84.64
01/04/2020,1.00,3.00,86.32
02/04/2020,1.00,3.00,86.23
03/04/2020,1.00,3.00,86.34
04/04/2020,1.00,3.00,86.55
05/04/2020,1.00,4.29,86.80
06/04/2020,1.00,5.00,86.81
07/04/2020,1.00,5.00,86.31
08/04/2020,1.00,5.00,84.38
09/04/2020,1.00,5.00,84.52
10/04/2020,1.00,5.00,84.80
11/04/2020,1.00,5.00,85.48
12/04/2020,0.94,5.00,85.91
13/04/2020,0.90,5.00,84.71
14/04/2020,0.90,5.00,83.84
15/04/2020,0.90,5.00,85.12
16/04/2020,0.90,5.00,86.13
17/04/2020,0.90,5.00,86.05
18/04/2020,0.90,5.00,85.89
19/04/2020,0.90,4.35,85.86
20/04/2020,0.90,4.00,85.50
21/04/2020,0.90,4.00,86.05
22/04/2020,0.90,4.00,86.06
23/04/2020,0.90,4.00,86.05
24/04/2020,0.90,4.00,84.32
25/04/2020,0.90,4.00,84.14
26/04/2020,0.96,2.06,83.99
27/04/2020,1.00,1.00,84.97
28/04/2020,1.00,1.00,86.26
29/04/2020,1.00,1.00,87.30
30/04/2020,1.00,1.00,86.86
01/05/2020,1.00,1.00,87.00
02/05/2020,1.00,1.00,86.58
03/05/2020,1.00,1.00,86.74
04/05/2020,1.00,1.00,84.70
05/05/2020,1.00,1.00,83.65
06/05/2020,1.00,1.00,84.52
07/05/2020,1.00,1.00,87.37
08/05/2020,1.00,1.00,87.06
09/05/2020,1.00,1.02,87.03
10/05/2020,0.90,3.94,87.14
11/05/2020,0.90,5.00,88.19
12/05/2020,0.90,5.00,87.74
13/05/2020,0.90,5.00,87.60
14/05/2020,0.90,5.00,87.53
15/05/2020,0.90,5.00,86.94
16/05/2020,0.90,5.00,86.75
17/05/2020,0.32,3.06,86.74
18/05/2020,0.00,2.00,86.96
19/05/2020,0.00,2.00,84.36
20/05/2020,0.00,2.00,83.60
21/05/2020,0.00,2.00,84.83
22/05/2020,0.00,2.00,86.51
23/05/2020,0.00,2.00,86.83
24/05/2020,0.58,2.00,87.11
25/05/2020,0.90,2.00,87.33
26/05/2020,0.90,2.00,87.12
27/05/2020,0.90,2.00,86.99
28/05/2020,0.90,2.00,87.56
29/05/2020,0.90,2.00,87.44
30/05/2020,0.90,2.00,88.35
31/05/2020,0.90,2.65,87.10
01/06/2020,0.90,3.00,86.92
02/06/2020,0.90,3.00,87.12
03/06/2020,0.90,3.00,87.75
04/06/2020,0.90,3.00,87.44
05/06/2020,0.90,3.00,86.48
06/06/2020,0.90,3.00,84.59
07/06/2020,0.96,4.29,84.40
08/06/2020,1.00,5.00,83.99
09/06/2020,1.00,5.00,84.44
10/06/2020,1.00,5.00,87.41
11/06/2020,1.00,5.00,88.66
12/06/2020,1.00,5.00,88.47
13/06/2020,1.00,5.00,88.05
14/06/2020,0.94,5.00,88.39
15/06/2020,0.90,5.00,87.88
16/06/2020,0.90,5.00,88.08
17/06/2020,0.90,5.00,88.56
18/06/2020,0.90,5.00,88.49
19/06/2020,0.90,5.00,87.41
20/06/2020,0.90,5.00,88.30
21/06/2020,0.90,3.71,87.70
22/06/2020,0.90,3.00,86.97
23/06/2020,0.90,3.00,87.66
24/06/2020,0.90,3.00,87.53
25/06/2020,0.90,3.00,88.44
26/06/2020,0.90,3.00,88.01
27/06/2020,0.90,3.00,87.84
28/06/2020,0.90,1.71,86.65
29/06/2020,0.90,1.00,86.32
30/06/2020,0.90,1.00,85.73
01/07/2020,0.90,1.00,85.41
